SPID,SID,PID,Quantity,Price,ShipDate
173.0,84,1145,508,326.88,2012-08-11
174.0,899,28,95,496.41,2013-10-12
175.0,630,361,693,348.16,2014-07-18
176.0,623,264,28,387.88,2013-07-05
177.0,155,655,25,382.54,2013-04-26
178.0,472,318,45,269.17,2012-03-14
179.0,701,587,22,388.48,2013-02-18
180.0,519,554,297,344.05,2013-05-30
181.0,750,757,483,101.82,2014-02-04
182.0,1102,349,20,434.49,2013-02-07
183.0,786,777,341,43.62,2014-08-30
184.0,371,1150,5,259.824016013485,2013-12-05
185.0,202,476,172,111.24,2013-03-26
186.0,704,997,122,319.39,2013-04-08
187.0,554,366,11,367.75,2014-01-26
188.0,6,555,9,150.69,2014-06-19
189.0,1183,681,301,398.72,2014-09-25
190.0,759,1121,668,18.48,2013-06-14
191.0,75,122,150,384.05,2012-12-10
192.0,288,154,190,192.84,2013-01-28
193.0,1152,774,12,74.99,2013-02-10
194.0,797,169,71,277.32,2014-10-28
195.0,317,935,14,474.11,2014-04-18
196.0,182,312,16,424.47,2013-06-04
197.0,877,468,128,25.31,2012-02-06
198.0,601,139,10,499.56,2012-05-14
199.0,112,755,61,203.41,2014-05-16
200.0,953,308,645,159.26,2012-03-22
201.0,152,775,8,259.824016013485,2014-08-22
202.0,606,193,443,437.44,2015-01-12
203.0,12,657,298,256.59,2013-03-09
204.0,386,1148,196,433.22,2012-09-10
205.0,886,361,184,474.45,2012-11-04
206.0,411,267,2,484.03,2013-04-19
207.0,1102,580,600,43.31,2014-02-19
208.0,561,316,178,32.64,2012-11-26
209.0,21,507,62,172.32,2015-02-02
210.0,270,760,29,362.1,2014-04-02
211.0,625,955,31,484.34,2012-11-03
212.0,484,299,10,431.81,2015-02-02
213.0,1167,307,436,418.43,2012-10-07
214.0,1005,663,52,413.5,2012-02-16
215.0,1046,77,29,102.79,2012-01-13
216.0,1151,197,535,429.62,2012-07-05
217.0,355,887,40,458.85,2012-08-11
218.0,850,857,637,488.36,2015-01-03
219.0,1197,505,72,494.3,2013-08-12
220.0,570,979,110,359.89,2014-06-28
221.0,1027,1103,47,21.25,2014-03-18
222.0,318,598,11,287.22,2013-04-09
223.0,947,677,604,308.37,2014-06-03
224.0,1103,350,39,356.26,2013-11-03
225.0,603,557,65,392.66,2014-06-11
226.0,1035,736,90,232.93,2014-04-14
227.0,279,98,415,487.56,2014-04-29
228.0,747,86,61,187.11,2014-11-10
229.0,1076,828,618,124.37,2014-08-16
230.0,828,760,42,170.59,2013-11-06
231.0,260,377,155,493.99,2013-01-19
232.0,1129,966,40,141.47,2013-12-10
233.0,226,1005,29,454.58,2013-01-18
234.0,638,715,12,395.52,2012-11-20
235.0,634,1117,23,341.6,2012-07-28
236.0,1065,802,600,286.15,2015-01-07
237.0,164,936,41,465.38,2012-10-27
238.0,25,953,37,472.84,2013-09-13
239.0,484,952,43,422.53,2015-01-17
240.0,49,283,8,319.99,2013-04-25
241.0,1149,1188,544,275.32,2014-10-08
242.0,413,1009,269,287.73,2013-11-29
243.0,816,153,251,398.03,2014-07-31
244.0,156,880,517,495.29,2014-10-26
245.0,1043,994,511,402.75,2012-08-22
246.0,1080,598,39,63.86,2012-02-05
247.0,782,130,282,327.65,2012-10-04
248.0,1069,693,284,386.2,2013-02-28
249.0,1109,542,18,126.07,2013-05-06
250.0,957,561,339,56.95,2013-07-01
251.0,51,92,588,52.77,2013-11-25
252.0,1145,625,51,28.71,2012-03-10
253.0,1126,44,551,447.0,2014-07-09
254.0,847,986,651,483.72,2012-05-04
255.0,149,288,629,462.5,2013-04-01
256.0,328,11,20,91.21,2012-12-24
257.0,793,787,171,149.75,2014-02-16
258.0,707,855,64,467.48,2014-07-15
259.0,1059,471,20,63.65,2014-05-04
260.0,392,844,84,57.67,2013-12-18
261.0,46,432,86,482.08,2012-12-06
262.0,505,438,27,346.45,2014-05-25
263.0,1158,1178,582,494.37,2012-10-28
264.0,1046,888,10,255.78,2012-10-15
265.0,515,367,55,427.04,2013-11-19
266.0,588,829,42,156.24,2015-01-11
267.0,781,906,178,465.77,2014-02-09
268.0,623,1052,569,280.33,2012-06-22
269.0,599,511,17,460.69,2013-03-20
270.0,179,262,16,337.06,2014-03-22
271.0,754,958,4,20.48,2013-04-13
272.0,685,499,418,286.73,2012-03-21
273.0,921,578,302,338.4,2012-05-30
274.0,578,753,547,49.58,2014-01-01
275.0,635,981,480,462.08,2013-04-23
276.0,817,1101,19,413.87,2013-11-30
277.0,101,904,42,24.88,2013-11-08
278.0,668,684,542,285.97,2013-02-24
279.0,1196,1160,27,455.62,2012-04-11
280.0,200,1156,681,142.56,2012-07-16
281.0,586,583,46,203.47,2012-05-21
282.0,448,1193,495,442.76,2012-01-03
283.0,568,944,455,414.99,2014-04-02
284.0,1128,39,69,193.94,2013-06-25
285.0,664,844,237,320.18,2013-07-19
286.0,473,13,35,365.83,2015-01-10
287.0,705,293,637,325.88,2014-01-20
288.0,407,392,23,102.58,2013-09-05
289.0,1187,222,36,178.78,2012-06-07
290.0,883,406,17,426.26,2013-02-18
291.0,55,930,10,94.2,2015-01-29
292.0,923,396,599,384.68,2013-07-14
293.0,1175,947,108,261.98,2014-01-18
294.0,634,317,53,297.77,2013-08-02
295.0,1007,24,58,259.85,2014-11-19
296.0,149,309,368,258.44,2014-11-15
297.0,394,256,27,18.5,2015-01-29
298.0,443,741,509,245.47,2012-01-05
299.0,164,875,18,40.2,2013-08-12
300.0,593,51,477,195.64,2012-10-27
301.0,389,1175,26,23.4,2012-07-11
302.0,1192,121,172,21.46,2013-03-03
303.0,1161,148,122,218.89,2013-12-21
304.0,159,731,55,155.99,2012-10-12
305.0,857,1128,67,199.81,2014-07-19
306.0,69,338,627,389.83,2013-04-17
307.0,709,716,671,407.36,2014-04-15
308.0,862,853,196,293.31,2014-06-17
309.0,374,1101,31,200.41,2012-12-31
310.0,1177,544,620,419.05,2013-12-12
311.0,170,583,17,30.17,2012-11-18
312.0,120,251,8,260.84,2012-11-14
313.0,824,1115,35,396.26,2012-07-31
314.0,680,962,519,294.34,2012-10-25
315.0,407,1136,639,221.63,2012-05-08
316.0,204,1111,69,425.07,2012-05-18
317.0,558,838,16,481.48,2013-12-29
318.0,979,283,65,434.13,2014-12-21
320.0,498,328,5,219.66,2012-02-05
321.0,48,470,29,89.61,2014-10-09
322.0,1050,1052,692,42.37,2012-02-16
323.0,922,709,7,50.71,2014-12-03
324.0,853,1161,12,355.77,2012-10-08
325.0,335,1177,249,106.87,2013-01-13
326.0,234,453,97,284.98,2012-08-25
327.0,1166,458,33,346.84,2012-08-29
328.0,176,195,474,16.4,2013-03-07
329.0,562,1032,3,398.09,2014-03-08
331.0,443,464,356,74.56,2012-09-09
332.0,839,410,393,335.35,2013-09-07
333.0,1127,334,2,246.82,2012-10-01
334.0,79,668,428,80.53,2012-05-15
335.0,454,932,596,275.26,2014-06-08
336.0,1043,1125,194,371.11,2014-09-11
337.0,354,668,448,233.14,2013-07-01
338.0,328,930,328,100.7,2014-04-13
339.0,755,1083,65,334.51,2014-12-21
340.0,353,10,199,373.88,2013-03-18
341.0,1074,1028,204,118.22,2013-11-21
342.0,567,795,29,277.52,2012-07-14
343.0,248,204,403,58.25,2013-08-09
344.0,626,997,440,126.73,2014-08-10
345.0,665,775,15,40.48,2013-05-06
346.0,1092,159,42,27.76,2014-09-30
347.0,650,681,450,103.06,2014-04-14
348.0,288,996,17,92.69,2013-05-08
349.0,1091,176,634,449.93,2012-12-02
350.0,124,778,538,246.1,2013-02-19
351.0,778,1105,576,261.49,2013-11-11
352.0,374,637,49,114.98,2013-07-09
353.0,153,1105,330,323.93,2014-07-14
354.0,442,350,13,88.5,2012-10-19
355.0,1055,227,280,102.34,2015-01-09
356.0,570,800,530,469.95,2014-05-10
357.0,787,14,16,348.08,2014-10-05
358.0,322,99,672,365.3,2012-09-21
359.0,1016,562,108,415.58,2013-01-30
360.0,277,1175,26,478.48,2014-12-19
361.0,1054,605,42,440.38,2014-10-28
362.0,13,576,236,444.48,2014-08-09
363.0,109,686,35,199.51,2013-02-21
364.0,51,1198,65,107.93,2014-05-05
365.0,765,297,36,299.83,2014-08-27
366.0,317,580,374,220.3,2014-07-15
367.0,102,889,235,56.04,2012-07-29
368.0,694,795,38,281.3,2013-07-15
369.0,1018,243,12,222.27,2013-10-30
370.0,345,290,36,314.57,2014-02-17
371.0,489,812,176,180.3,2012-09-11
372.0,290,714,499,489.32,2013-03-30
373.0,82,220,19,213.5,2014-02-24
374.0,912,1082,60,214.16,2014-12-28
375.0,1182,558,41,195.94,2015-01-30
376.0,584,434,93,469.17,2013-01-13
378.0,1050,742,62,281.04,2012-03-05
379.0,701,585,76,121.59,2014-03-04
380.0,1139,2,241,173.99,2013-01-14
381.0,744,859,55,124.88,2014-01-22
382.0,925,603,8,175.79,2014-10-13
383.0,532,1097,611,432.84,2012-02-27
384.0,340,16,280,148.46,2012-04-23
385.0,866,798,17,453.26,2014-12-06
386.0,402,289,538,470.53,2012-06-18
387.0,998,988,565,334.87,2012-07-08
388.0,671,866,67,462.7,2014-11-26
389.0,284,578,513,14.16,2014-10-27
390.0,99,1191,22,75.52,2014-12-27
391.0,756,804,606,79.25,2013-02-18
392.0,1100,693,321,273.28,2014-09-29
393.0,479,647,4,338.96,2013-01-20
394.0,288,73,107,216.69,2013-05-12
395.0,395,836,693,168.08,2012-08-19
396.0,1055,832,331,367.36,2012-02-19
397.0,435,456,41,296.17,2013-03-03
398.0,573,1041,257,493.42,2012-12-29
399.0,193,145,277,211.09,2012-08-04
400.0,703,262,37,386.33,2012-12-22
401.0,148,1141,243,212.29,2013-02-16
402.0,645,893,11,39.01,2012-05-28
403.0,1008,434,512,417.81,2014-03-22
404.0,697,151,25,416.15,2012-03-04
405.0,116,802,328,289.78,2012-12-04
406.0,1133,508,579,203.59,2014-03-13
407.0,317,830,42,260.0,2013-04-23
408.0,976,131,522,412.69,2014-06-04
409.0,996,794,151,210.85,2015-01-14
410.0,1072,882,336,450.78,2013-11-21
411.0,589,523,42,25.33,2012-10-10
412.0,623,381,21,61.72,2013-11-12
413.0,809,1108,557,392.08,2013-03-22
414.0,844,265,283,188.56,2014-09-19
415.0,825,328,12,475.0,2012-12-02
416.0,528,45,36,172.93,2014-03-02
417.0,228,83,258,303.91,2012-12-30
418.0,259,196,546,108.41,2012-05-26
419.0,457,1086,43,403.68,2014-08-04
420.0,987,35,490,52.14,2014-07-30
421.0,1105,1096,67,82.1,2013-04-01
422.0,402,376,31,331.19,2014-05-15
423.0,974,1125,332,368.75,2014-07-30
424.0,171,1137,148,59.9,2012-11-07
425.0,663,407,48,182.84,2012-02-26
426.0,1157,137,148,385.76,2013-03-24
427.0,854,726,6,235.96,2013-05-23
428.0,148,169,458,295.68,2013-01-27
429.0,385,845,52,57.9,2014-09-14
430.0,960,242,262,149.07,2012-08-24
431.0,598,706,409,201.39,2013-12-24
432.0,51,397,47,308.94,2013-08-08
433.0,338,663,18,187.75,2013-05-28
434.0,739,52,699,457.18,2014-08-20
435.0,947,818,642,416.51,2012-09-03
436.0,522,334,4,284.16,2013-04-13
437.0,627,1003,61,149.74,2014-03-23
438.0,731,136,61,436.42,2014-12-19
439.0,1190,273,75,206.6,2013-06-05
440.0,1139,79,32,182.7,2012-09-09
441.0,697,630,17,187.69,2014-04-11
442.0,310,191,69,71.03,2012-12-04
443.0,658,290,619,250.53,2012-10-18
444.0,572,580,644,380.76,2012-12-17
445.0,1144,297,374,303.98,2015-01-24
446.0,500,230,10,246.55,2014-10-23
447.0,392,309,128,368.41,2013-06-06
448.0,423,285,62,460.82,2014-08-06
449.0,404,546,537,283.93,2012-07-17
450.0,8,1029,123,133.46,2014-03-06
451.0,238,1030,5,23.57,2013-10-31
452.0,768,708,73,44.34,2013-02-13
453.0,1060,1068,546,30.14,2013-11-19
454.0,1038,1120,521,72.5,2012-04-17
455.0,664,651,34,406.62,2012-01-12
456.0,330,887,63,179.82,2015-01-14
457.0,615,1149,27,259.78,2012-04-19
458.0,185,762,651,158.27,2014-05-15
460.0,1194,489,170,128.98,2013-03-20
461.0,602,219,10,142.67,2014-04-26
462.0,481,1162,142,314.22,2012-01-13
463.0,399,63,56,460.99,2013-04-04
464.0,1012,1085,58,465.77,2013-10-01
465.0,81,139,42,141.04,2014-05-15
466.0,330,178,103,329.77,2014-03-19
467.0,253,461,3,224.02,2012-04-05
468.0,100,383,21,80.24,2013-09-13
469.0,88,1144,43,230.21,2015-01-09
470.0,133,200,18,430.48,2014-05-28
471.0,410,1171,517,245.52,2013-11-04
472.0,331,1024,141,35.82,2013-05-05
473.0,487,11,15,203.84,2014-01-17
474.0,744,687,55,213.7,2012-09-25
475.0,800,717,45,181.93,2012-03-08
476.0,911,528,474,342.42,2014-12-01
477.0,1075,847,28,429.67,2013-08-09
478.0,919,382,27,210.15,2012-11-11
479.0,1071,730,57,174.24,2012-05-17
480.0,1122,1033,343,208.87,2013-10-01
481.0,784,388,175,124.34,2013-09-23
482.0,764,867,431,141.3,2014-01-31
483.0,1089,789,645,447.81,2012-12-23
484.0,35,1002,665,288.57,2013-07-07
485.0,54,554,266,420.86,2012-11-15
486.0,507,1190,39,253.77,2013-10-24
487.0,85,1082,286,319.29,2013-11-02
488.0,343,742,48,339.75,2012-08-06
489.0,292,1005,12,211.0,2013-02-15
490.0,336,1137,659,406.83,2012-01-03
491.0,649,96,337,245.43,2014-03-27
492.0,560,163,218,416.07,2014-03-31
493.0,105,936,28,108.3,2015-01-12
494.0,778,686,28,206.67,2014-09-25
495.0,1164,1090,374,63.96,2013-04-15
496.0,1131,930,698,371.7,2013-07-28
497.0,68,570,383,442.83,2014-03-26
498.0,1071,1160,55,139.87,2013-10-20
499.0,752,173,52,47.54,2014-09-18
500.0,958,298,642,98.32,2014-09-16
501.0,31,895,39,373.11,2012-05-30
502.0,1020,890,479,245.3,2014-05-11
503.0,628,305,354,499.37,2013-02-21
504.0,347,743,37,401.41,2013-12-28
505.0,504,507,12,467.55,2012-06-06
506.0,241,254,49,92.42,2012-03-09
507.0,717,18,623,363.03,2012-08-15
508.0,697,87,44,348.6,2013-08-19
509.0,82,914,183,82.3,2014-08-26
510.0,552,627,326,179.95,2014-07-16
511.0,437,699,4,468.71,2012-09-23
512.0,92,238,61,416.5,2012-01-21
513.0,476,760,31,21.31,2013-12-17
514.0,190,291,221,53.18,2013-12-24
515.0,808,192,428,311.36,2013-10-23
516.0,941,641,52,137.28,2013-12-23
518.0,241,654,38,366.63,2014-07-13
519.0,171,809,647,436.99,2014-03-12
520.0,505,432,455,295.02,2014-12-11
521.0,655,298,300,263.34,2012-10-25
522.0,61,566,5,220.23,2014-08-10
523.0,958,164,624,253.62,2013-04-14
524.0,908,7,13,381.58,2012-03-16
525.0,966,103,32,302.96,2012-11-23
526.0,165,882,219,52.13,2015-01-28
527.0,1069,49,442,306.45,2014-08-12
528.0,258,499,140,159.01,2012-01-28
529.0,46,713,242,56.59,2012-02-03
530.0,336,331,18,35.66,2012-02-24
531.0,812,587,16,230.09,2014-01-19
532.0,624,678,11,17.69,2012-10-15
533.0,1132,1027,562,363.22,2013-05-20
534.0,762,796,316,75.81,2013-11-08
535.0,785,531,81,299.74,2014-06-14
536.0,446,799,44,172.75,2014-07-24
537.0,904,780,195,232.32,2012-08-10
538.0,1165,320,690,53.87,2014-08-31
539.0,626,234,308,143.85,2013-12-24
540.0,535,808,38,129.28,2012-07-26
541.0,196,772,463,134.31,2012-09-29
542.0,940,105,13,35.06,2012-01-14
543.0,815,250,119,244.27,2015-01-10
544.0,913,375,36,407.02,2014-05-27
545.0,857,627,198,329.96,2012-08-24
546.0,651,717,12,333.08,2013-05-19
547.0,1146,367,52,417.61,2012-10-24
548.0,539,94,58,209.17,2014-03-23
549.0,1140,226,593,398.36,2014-06-15
550.0,247,54,42,488.35,2012-10-24
551.0,575,1041,212,68.04,2013-07-12
552.0,1065,729,179,49.05,2013-11-01
553.0,845,24,36,73.58,2013-05-25
554.0,1119,754,553,390.64,2014-11-06
555.0,1001,546,68,437.91,2014-05-20
556.0,893,959,56,241.59,2013-02-24
557.0,144,20,213,291.03,2013-01-26
558.0,214,681,123,363.09,2014-07-01
559.0,433,511,4,419.47,2013-07-25
560.0,17,1184,430,276.53,2013-07-12
561.0,15,183,37,76.07,2014-03-24
562.0,849,87,26,376.36,2013-04-12
563.0,971,996,293,253.89,2014-12-17
564.0,197,181,251,392.16,2015-02-04
565.0,677,558,36,425.74,2014-01-05
566.0,527,796,115,497.45,2015-01-16
567.0,322,850,74,129.24,2013-06-09
568.0,555,223,44,30.57,2013-10-06
569.0,1173,228,176,284.26,2013-08-16
570.0,761,837,668,372.51,2013-04-20
571.0,830,821,191,282.77,2014-04-23
572.0,787,902,21,52.51,2012-10-22
573.0,1063,57,322,165.71,2013-06-15
574.0,87,25,418,165.95,2013-07-18
575.0,440,605,27,105.9,2014-12-22
576.0,993,763,50,479.03,2014-01-22
577.0,804,1125,489,409.39,2013-11-08
578.0,61,886,56,259.824016013485,2013-09-17
579.0,704,60,485,294.14,2014-08-05
580.0,1105,220,52,92.33,2015-01-01
581.0,783,776,14,123.5,2014-08-26
582.0,89,364,259,444.02,2014-01-03
583.0,994,655,8,50.96,2013-11-16
584.0,785,137,268,196.77,2014-09-16
585.0,627,43,50,488.92,2014-12-01
586.0,872,503,47,400.08,2014-04-23
587.0,33,85,542,170.6,2013-03-15
588.0,513,194,424,420.77,2012-07-10
589.0,1193,898,496,483.75,2012-05-19
590.0,704,799,44,222.27,2013-03-18
591.0,1028,964,246,363.38,2013-05-28
592.0,826,190,31,113.19,2014-02-22
593.0,288,1019,6,77.32,2014-12-05
594.0,410,821,436,60.07,2014-11-15
595.0,1163,1049,155,455.24,2013-03-26
596.0,382,349,22,328.83,2014-03-16
597.0,361,258,474,204.87,2012-08-08
598.0,605,474,91,42.83,2014-05-31
599.0,709,290,585,284.15,2012-06-10
601.0,576,137,369,339.57,2013-10-06
602.0,881,290,160,178.79,2014-04-16
603.0,39,3,648,430.21,2013-11-29
604.0,1132,697,619,479.04,2014-11-07
605.0,604,1152,697,310.79,2012-07-30
606.0,673,86,58,187.37,2012-07-18
607.0,278,782,13,144.56,2014-12-07
608.0,1172,691,23,329.06,2013-04-13
609.0,263,266,95,157.71,2012-09-25
610.0,428,867,465,106.29,2012-07-05
611.0,567,266,609,466.27,2014-11-22
612.0,725,810,150,219.36,2014-06-14
613.0,820,404,627,417.42,2012-11-12
614.0,877,1112,41,285.08,2012-07-17
615.0,193,1079,39,307.7,2014-05-21
616.0,465,58,336,325.85,2013-06-23
617.0,348,286,54,190.14,2014-11-21
618.0,626,892,604,405.24,2012-09-23
619.0,1094,463,28,469.57,2013-10-21
620.0,111,1026,365,243.67,2014-08-14
621.0,917,74,655,442.31,2014-04-13
622.0,92,227,507,311.56,2013-07-26
623.0,620,1065,441,62.02,2014-03-01
625.0,619,634,94,48.67,2014-09-12
626.0,267,643,486,338.73,2014-11-26
627.0,602,432,366,296.53,2014-09-20
628.0,1027,935,62,269.93,2014-07-09
630.0,578,679,35,498.68,2012-04-10
631.0,674,947,316,203.74,2012-12-12
632.0,422,70,18,382.12,2014-07-09
633.0,1148,96,528,377.13,2014-01-15
635.0,175,211,480,46.96,2012-04-27
636.0,626,1075,296,212.85,2014-12-29
637.0,575,122,367,72.98,2012-08-01
638.0,620,1100,290,320.44,2013-07-12
639.0,934,1122,348,87.24,2014-10-25
640.0,265,485,669,190.7,2013-06-04
641.0,755,390,41,118.35,2012-03-02
642.0,412,76,65,301.86,2012-09-05
643.0,1033,913,608,326.96,2013-04-23
644.0,83,1186,498,130.07,2014-07-13
645.0,436,1088,152,410.48,2012-05-25
646.0,1143,1125,492,277.57,2013-06-30
647.0,894,656,654,70.4,2013-08-03
648.0,706,174,17,487.19,2013-08-07
649.0,690,1082,88,280.89,2012-05-17
650.0,704,500,431,38.61,2014-01-06
651.0,454,64,310,67.56,2013-10-27
652.0,638,402,96,368.75,2014-04-20
653.0,704,794,464,219.16,2013-05-16
654.0,355,137,454,259.824016013485,2014-11-04
655.0,1026,229,93,43.27,2014-12-04
656.0,885,72,47,221.37,2013-07-05
657.0,609,1190,24,468.78,2014-08-28
658.0,709,20,674,260.97,2013-06-24
659.0,252,333,59,433.49,2014-03-18
660.0,509,1022,13,310.59,2012-11-15
661.0,1065,403,176,152.25,2012-12-03
662.0,1144,305,40,444.33,2014-08-09
663.0,516,1183,9,364.36,2012-02-09
664.0,55,191,49,224.07,2012-04-12
